name,city,country,contact_email,contact_phone,coaches
Scorpion Gym Lisboa,Lisboa,Portugal,geral@scorpiongym.pt,912000001,Mestre Rui Tavares; rui@scorpiongym.pt|Kru Ana Bastos
Team Leiria Fight,Leiria,Portugal,info@leiriafight.pt,912000002,Mestre Paulo Nunes
Almada Muay Thai,Almada,Portugal,,912000003,Kru Sérgio Lopes; sergio@almadamt.pt
Porto Fight Academy,Porto,Portugal,geral@portofight.pt,912000004,Mestre Hugo Cardoso; hugo@portofight.pt|Treinador Bruno Faria
Braga Kickboxing Clube,Braga,Portugal,,912000005,Mestre Vítor Pinto
Coimbra Combat Center,Coimbra,Portugal,info@coimbracombat.pt,912000006,Kru Miguel Costa; miguel@coimbracombat.pt
Guerreiros do Minho,Guimarães,Portugal,,912000007,Mestre André Sousa
Clube de Combate do Algarve,Faro,Portugal,geral@combatealgarve.pt,912000008,Treinador Nuno Ramos; nuno@combatealgarve.pt
Dragão Fight Team,Aveiro,Portugal,,912000009,Mestre Diogo Martins
Évora Boxe Clube,Évora,Portugal,info@evoraboxe.pt,912000010,Treinador Luís Rocha
